k,features,DT_acc,DT_f1,RF_acc,RF_f1,ANN_acc,ANN_f1
39,"end,rBytesSum,endOffset,start,sBytesSum,startOffset,rPayloadSum,sPayloadSum,rPackets,sPackets,rBytesAvg,rInterPacketAvg,sLoad,rLoad,sInterPacketAvg,rPayloadAvg,rAckDelayAvg,rPshRate,sAckDelayAvg,sBytesAvg,rAckDelayMax,sPayloadAvg,sWinTCP,rWinTCP,rBytesMin,duration,sPshRate,sBytesMin,sAckDelayMax,rBytesMax,rttl,sBytesMax,rPayloadMax,sPayloadMax,rAckRate,sttl,rSynRate,sRstRate,sPayloadMin",0.9939851268591426,0.9939705447472047,0.9952974628171478,0.9952891838459059,0.9851268591426072,0.986054915679768
40,"end,rBytesSum,endOffset,start,sBytesSum,startOffset,rPayloadSum,sPayloadSum,rPackets,sPackets,rBytesAvg,rInterPacketAvg,sLoad,rLoad,sInterPacketAvg,rPayloadAvg,rAckDelayAvg,rPshRate,sAckDelayAvg,sBytesAvg,rAckDelayMax,sPayloadAvg,sWinTCP,rWinTCP,rBytesMin,duration,sPshRate,sBytesMin,sAckDelayMax,rBytesMax,rttl,sBytesMax,rPayloadMax,sPayloadMax,rAckRate,sttl,rSynRate,sRstRate,sPayloadMin,sAckRate",0.9943132108486439,0.9942982947013476,0.9957349081364829,0.9957280211249824,0.9858923884514436,0.986828039274557
41,"end,rBytesSum,endOffset,start,sBytesSum,startOffset,rPayloadSum,sPayloadSum,rPackets,sPackets,rBytesAvg,rInterPacketAvg,sLoad,rLoad,sInterPacketAvg,rPayloadAvg,rAckDelayAvg,rPshRate,sAckDelayAvg,sBytesAvg,rAckDelayMax,sPayloadAvg,sWinTCP,rWinTCP,rBytesMin,duration,sPshRate,sBytesMin,sAckDelayMax,rBytesMax,rttl,sBytesMax,rPayloadMax,sPayloadMax,rAckRate,sttl,rSynRate,sRstRate,sPayloadMin,sAckRate,rPayloadMin",0.9940944881889764,0.9940819338237992,0.9959536307961505,0.9959519925050232,0.9846894138232721,0.985560723523862
42,"end,rBytesSum,endOffset,start,sBytesSum,startOffset,rPayloadSum,sPayloadSum,rPackets,sPackets,rBytesAvg,rInterPacketAvg,sLoad,rLoad,sInterPacketAvg,rPayloadAvg,rAckDelayAvg,rPshRate,sAckDelayAvg,sBytesAvg,rAckDelayMax,sPayloadAvg,sWinTCP,rWinTCP,rBytesMin,duration,sPshRate,sBytesMin,sAckDelayMax,rBytesMax,rttl,sBytesMax,rPayloadMax,sPayloadMax,rAckRate,sttl,rSynRate,sRstRate,sPayloadMin,sAckRate,rPayloadMin,rAckDelayMin",0.9944225721784777,0.9944033342931378,0.9958442694663167,0.9958408029564794,0.9847987751531059,0.9857791109857427
43,"end,rBytesSum,endOffset,start,sBytesSum,startOffset,rPayloadSum,sPayloadSum,rPackets,sPackets,rBytesAvg,rInterPacketAvg,sLoad,rLoad,sInterPacketAvg,rPayloadAvg,rAckDelayAvg,rPshRate,sAckDelayAvg,sBytesAvg,rAckDelayMax,sPayloadAvg,sWinTCP,rWinTCP,rBytesMin,duration,sPshRate,sBytesMin,sAckDelayMax,rBytesMax,rttl,sBytesMax,rPayloadMax,sPayloadMax,rAckRate,sttl,rSynRate,sRstRate,sPayloadMin,sAckRate,rPayloadMin,rAckDelayMin,sAckDelayMin",0.9940944881889764,0.9940864696291954,0.9951881014873141,0.9951889249307738,0.9850174978127734,0.9860665912247142
44,"end,rBytesSum,endOffset,start,sBytesSum,startOffset,rPayloadSum,sPayloadSum,rPackets,sPackets,rBytesAvg,rInterPacketAvg,sLoad,rLoad,sInterPacketAvg,rPayloadAvg,rAckDelayAvg,rPshRate,sAckDelayAvg,sBytesAvg,rAckDelayMax,sPayloadAvg,sWinTCP,rWinTCP,rBytesMin,duration,sPshRate,sBytesMin,sAckDelayMax,rBytesMax,rttl,sBytesMax,rPayloadMax,sPayloadMax,rAckRate,sttl,rSynRate,sRstRate,sPayloadMin,sAckRate,rPayloadMin,rAckDelayMin,sAckDelayMin,rRstRate",0.9940944881889764,0.9940798851509259,0.9958442694663167,0.9958432239465245,0.9845800524934383,0.9853949679066298
45,"end,rBytesSum,endOffset,start,sBytesSum,startOffset,rPayloadSum,sPayloadSum,rPackets,sPackets,rBytesAvg,rInterPacketAvg,sLoad,rLoad,sInterPacketAvg,rPayloadAvg,rAckDelayAvg,rPshRate,sAckDelayAvg,sBytesAvg,rAckDelayMax,sPayloadAvg,sWinTCP,rWinTCP,rBytesMin,duration,sPshRate,sBytesMin,sAckDelayMax,rBytesMax,rttl,sBytesMax,rPayloadMax,sPayloadMax,rAckRate,sttl,rSynRate,sRstRate,sPayloadMin,sAckRate,rPayloadMin,rAckDelayMin,sAckDelayMin,rRstRate,sSynRate",0.9939851268591426,0.9939654471028673,0.9950787401574803,0.9950739352094811,0.9849081364829396,0.9856425605616018
46,"end,rBytesSum,endOffset,start,sBytesSum,startOffset,rPayloadSum,sPayloadSum,rPackets,sPackets,rBytesAvg,rInterPacketAvg,sLoad,rLoad,sInterPacketAvg,rPayloadAvg,rAckDelayAvg,rPshRate,sAckDelayAvg,sBytesAvg,rAckDelayMax,sPayloadAvg,sWinTCP,rWinTCP,rBytesMin,duration,sPshRate,sBytesMin,sAckDelayMax,rBytesMax,rttl,sBytesMax,rPayloadMax,sPayloadMax,rAckRate,sttl,rSynRate,sRstRate,sPayloadMin,sAckRate,rPayloadMin,rAckDelayMin,sAckDelayMin,rRstRate,sSynRate,sFinRate",0.9940944881889764,0.9940822950946755,0.9949693788276466,0.9949629764779214,0.984251968503937,0.9850392206595571
47,"end,rBytesSum,endOffset,start,sBytesSum,startOffset,rPayloadSum,sPayloadSum,rPackets,sPackets,rBytesAvg,rInterPacketAvg,sLoad,rLoad,sInterPacketAvg,rPayloadAvg,rAckDelayAvg,rPshRate,sAckDelayAvg,sBytesAvg,rAckDelayMax,sPayloadAvg,sWinTCP,rWinTCP,rBytesMin,duration,sPshRate,sBytesMin,sAckDelayMax,rBytesMax,rttl,sBytesMax,rPayloadMax,sPayloadMax,rAckRate,sttl,rSynRate,sRstRate,sPayloadMin,sAckRate,rPayloadMin,rAckDelayMin,sAckDelayMin,rRstRate,sSynRate,sFinRate,rFinRate",0.9942038495188101,0.9941789553805724,0.9957349081364829,0.9957262343643122,0.9846894138232721,0.9854908742354991
48,"end,rBytesSum,endOffset,start,sBytesSum,startOffset,rPayloadSum,sPayloadSum,rPackets,sPackets,rBytesAvg,rInterPacketAvg,sLoad,rLoad,sInterPacketAvg,rPayloadAvg,rAckDelayAvg,rPshRate,sAckDelayAvg,sBytesAvg,rAckDelayMax,sPayloadAvg,sWinTCP,rWinTCP,rBytesMin,duration,sPshRate,sBytesMin,sAckDelayMax,rBytesMax,rttl,sBytesMax,rPayloadMax,sPayloadMax,rAckRate,sttl,rSynRate,sRstRate,sPayloadMin,sAckRate,rPayloadMin,rAckDelayMin,sAckDelayMin,rRstRate,sSynRate,sFinRate,rFinRate,sUrgRate",0.9942038495188101,0.9941904165065423,0.9955161854768154,0.9955100116809179,0.9843613298337708,0.9851700449732105
49,"end,rBytesSum,endOffset,start,sBytesSum,startOffset,rPayloadSum,sPayloadSum,rPackets,sPackets,rBytesAvg,rInterPacketAvg,sLoad,rLoad,sInterPacketAvg,rPayloadAvg,rAckDelayAvg,rPshRate,sAckDelayAvg,sBytesAvg,rAckDelayMax,sPayloadAvg,sWinTCP,rWinTCP,rBytesMin,duration,sPshRate,sBytesMin,sAckDelayMax,rBytesMax,rttl,sBytesMax,rPayloadMax,sPayloadMax,rAckRate,sttl,rSynRate,sRstRate,sPayloadMin,sAckRate,rPayloadMin,rAckDelayMin,sAckDelayMin,rRstRate,sSynRate,sFinRate,rFinRate,sUrgRate,sFragmentRate",0.9940944881889764,0.9940832505234732,0.9959536307961505,0.9959557594043015,0.9839238845144357,0.9848992331349572
50,"end,rBytesSum,endOffset,start,sBytesSum,startOffset,rPayloadSum,sPayloadSum,rPackets,sPackets,rBytesAvg,rInterPacketAvg,sLoad,rLoad,sInterPacketAvg,rPayloadAvg,rAckDelayAvg,rPshRate,sAckDelayAvg,sBytesAvg,rAckDelayMax,sPayloadAvg,sWinTCP,rWinTCP,rBytesMin,duration,sPshRate,sBytesMin,sAckDelayMax,rBytesMax,rttl,sBytesMax,rPayloadMax,sPayloadMax,rAckRate,sttl,rSynRate,sRstRate,sPayloadMin,sAckRate,rPayloadMin,rAckDelayMin,sAckDelayMin,rRstRate,sSynRate,sFinRate,rFinRate,sUrgRate,sFragmentRate,rFragmentRate",0.9946412948381452,0.9946286845765834,0.9956255468066492,0.995622796892349,0.9849081364829396,0.9856900282848345
51,"end,rBytesSum,endOffset,start,sBytesSum,startOffset,rPayloadSum,sPayloadSum,rPackets,sPackets,rBytesAvg,rInterPacketAvg,sLoad,rLoad,sInterPacketAvg,rPayloadAvg,rAckDelayAvg,rPshRate,sAckDelayAvg,sBytesAvg,rAckDelayMax,sPayloadAvg,sWinTCP,rWinTCP,rBytesMin,duration,sPshRate,sBytesMin,sAckDelayMax,rBytesMax,rttl,sBytesMax,rPayloadMax,sPayloadMax,rAckRate,sttl,rSynRate,sRstRate,sPayloadMin,sAckRate,rPayloadMin,rAckDelayMin,sAckDelayMin,rRstRate,sSynRate,sFinRate,rFinRate,sUrgRate,sFragmentRate,rFragmentRate,rUrgRate",0.9940944881889764,0.9940884470725294,0.9951881014873141,0.9951823291890707,0.9841426071741033,0.9851266461943944
