k,redundancy
1,0.0
2,0.0004925059212836846
3,0.19588969091596056
4,0.34149216683137507
5,0.20571983630252194
6,0.13726499819495638
7,0.09819998454340458
8,0.07399567756953027
9,0.05798057510706568
10,0.04691574359365424
11,0.03868968828747781
