feature,mean,std
sBytesAvg,0.0037620297462817144,0.00041268508889136593
rBytesAvg,0.0019575678040244958,0.00028286345486390127
rFinRate,0.00034995625546808685,0.0001365922571828056
sttl,0.021281714785651818,0.0009460861222170724
rttl,0.039348206474190725,0.0013329526671209792
sAckDelayMax,0.013604549431321111,0.0010001630240746985
rAckDelayMax,0.2754702537182852,0.004530107460698425
sPackets,0.03425196850393704,0.001604148429423341
rPackets,0.1509514435695538,0.003070327856101008
sWinTCP,0.01315616797900263,0.0011056316865594485
rWinTCP,0.1082677165354331,0.0025884235046411174
sInterPacketAvg,0.03744531933508312,0.0014567651623225517
rInterPacketAvg,0.03429571303587052,0.0013440325018142696
