feature,mean,std
sBytesAvg,0.010740457180356544,0.0007135297574231536
rBytesAvg,-0.003532757300667211,0.0006110238531538058
sFinRate,0.01106857705348353,0.0012206764894064203
rFinRate,0.0014546647708629235,0.0001697930077245946
sSynRate,0.011976375369134862,0.0010447868956875938
rSynRate,0.0012249808596740408,0.0002230786181162714
sRstRate,0.0003171825440227427,0.0001421852783550226
rRstRate,0.0005468664552116254,0.0
sttl,0.0,0.0
rttl,0.0,0.0
sAckRate,0.006310838893142268,0.0008112077716630539
rAckRate,0.0011265448977359482,0.000409383512462266
sAckDelayMax,0.05057420977797222,0.0022152884438231854
rAckDelayMax,0.07535819752816361,0.003142270096808502
sPackets,-0.0006343650880454854,0.00020048455408315608
rPackets,0.013977906595209467,0.0010579286701820967
sWinTCP,0.016613802909329522,0.0010473028047272525
rWinTCP,-0.001531226074592551,0.0002766949719057911
sPayloadAvg,0.0035218199715629783,0.00030467873295819345
rPayloadAvg,-0.0006124904298370204,0.0004068921631354669
sInterPacketAvg,0.07447227387072076,0.002464396508449131
rInterPacketAvg,0.08854861642786832,0.0026495439900209835
