feature,importance
sBytesAvg,0.02165151998904239
rBytesAvg,0.021303703726571213
rFinRate,0.00025162447355386224
rSynRate,0.0
sttl,0.00034406191793038117
rttl,0.0062675485915862136
rAckRate,0.0
sAckDelayMax,0.009364177140207494
rAckDelayMax,0.0022151934677462517
sPackets,0.13621686788681958
rPackets,0.09183890755248911
sWinTCP,0.0023787908754677746
rWinTCP,0.000455334240345008
sPayloadAvg,0.1562282802753682
rPayloadAvg,0.00214599163059038
sInterPacketAvg,0.028080212984358758
rInterPacketAvg,0.5212577852479235
