k,redundancy
1,0.0
2,0.18336674417429766
3,0.15887182792539517
4,0.10563632510448241
5,0.11522375979774538
6,0.13492107243538007
7,0.147110904960612
8,0.16205542378908847
9,0.1263984873082108
10,0.13629376383371092
11,0.1611618164698907
12,0.18347030291622737
13,0.1663601065035229
14,0.1925263903528471
15,0.21573894365851534
16,0.23753598939128484
17,0.2555197534972192
18,0.2752432475152677
19,0.296442566321389
20,0.29832201875729286
21,0.2973873700422024
22,0.2777784605200551
23,0.25516042357756863
24,0.2403976128154886
25,0.22869093312639488
26,0.2129007361764691
27,0.20406158350476403
28,0.19141478222869288
29,0.17891103238501016
30,0.1678988502604516
31,0.16022142814278909
32,0.15020758888386482
33,0.14122720296119945
34,0.13305584876787058
35,0.13693293768504036
36,0.1293255522580937
37,0.13208105525156028
38,0.1251538628751536
39,0.11875941474025656
40,0.11282144400324373
41,0.10731795892991478
42,0.10781258498194027
43,0.10834714577565596
44,0.10485312082186175
45,0.10063323033605828
46,0.09988026443293857
47,0.09978659172656153
48,0.10322141727824842
49,0.1064354528983631
50,0.11207252832035122
51,0.11447306782524085
