feature,mean,std
sBytesAvg,0.003401137357830286,0.0004926117948186892
rBytesAvg,0.0013779527559055539,0.00018429898891461483
sFinRate,0.0,0.0
rFinRate,0.0,0.0
sSynRate,0.0,0.0
rSynRate,0.0,0.0
sRstRate,0.0,0.0
rRstRate,0.0,0.0
sttl,0.015901137357830296,0.0007919451876741709
rttl,0.015376202974628207,0.000956145800279716
sAckRate,0.0,0.0
rAckRate,1.0936132983385693e-05,3.280839895015708e-05
sAckDelayMax,0.0016732283464567454,0.00028538907153762656
rAckDelayMax,0.2198818897637796,0.0033544526754180092
sPackets,0.010673665791776055,0.0008054222501978022
rPackets,0.036778215223097134,0.0008858267716535277
sWinTCP,0.0006452318460192675,0.0001503469716193044
rWinTCP,0.0001312335958005839,0.0001275361306834089
sPayloadAvg,0.0005030621172353756,0.00023043862101603855
rPayloadAvg,0.0002843394575678504,5.357589113697771e-05
sInterPacketAvg,0.01602143482064745,0.0009140016670341951
rInterPacketAvg,0.0027012248468941793,0.00042930416505666396
