k,features,DT_acc,DT_f1,RF_acc,RF_f1,ANN_acc,ANN_f1
1,MV301,0.9536109646810754,0.9401890336472201,0.9536109646810754,0.9401890336472201,0.9621146963349333,0.9435377968808096
2,"MV301,P403",0.9536109646810754,0.9401890336472201,0.9536109646810754,0.9401890336472201,0.9621146963349333,0.9435377968808096
3,"MV301,P403,P301",0.9536109646810754,0.9401890336472201,0.9536109646810754,0.9401890336472201,0.9621146963349333,0.9435377968808096
4,"MV301,P403,P301,P206",0.9536283050800433,0.9402246505287224,0.9536283050800433,0.9402246505287224,0.9621320367339011,0.9435808005024573
5,"MV301,P403,P301,P206,P102",0.9557403656743334,0.9444724139636654,0.9557403656743334,0.9444724139636654,0.964296118525095,0.9487767563952785
6,"MV301,P403,P301,P206,P102,MV304",0.9480793774103154,0.9549550709566618,0.9480793774103154,0.9549550709566618,0.964296118525095,0.9487767563952785
7,"MV301,P403,P301,P206,P102,MV304,P602",0.9559935354992648,0.9605623348650817,0.9559935354992648,0.9605623348650817,0.964296118525095,0.9487767563952785
8,"MV301,P403,P301,P206,P102,MV304,P602,P401",0.9559935354992648,0.9605623348650817,0.9559935354992648,0.9605623348650817,0.964296118525095,0.9487767563952785
9,"MV301,P403,P301,P206,P102,MV304,P602,P401,P502",0.9559935354992648,0.9605623348650817,0.9559935354992648,0.9605623348650817,0.964296118525095,0.9487767563952785
10,"MV301,P403,P301,P206,P102,MV304,P602,P401,P502,P601",0.9559935354992648,0.9605623348650817,0.9559935354992648,0.9605623348650817,0.964296118525095,0.9487767563952785
11,"MV301,P403,P301,P206,P102,MV304,P602,P401,P502,P601,P603",0.9559935354992648,0.9605623348650817,0.9559935354992648,0.9605623348650817,0.964296118525095,0.9487767563952785
12,"MV301,P403,P301,P206,P102,MV304,P602,P401,P502,P601,P603,P404",0.9559935354992648,0.9605623348650817,0.9559935354992648,0.9605623348650817,0.964296118525095,0.9487767563952785
13,"MV301,P403,P301,P206,P102,MV304,P602,P401,P502,P601,P603,P404,P501",0.9541034320117637,0.9594533091974655,0.9541034320117637,0.9594533091974655,0.9864606164858641,0.9850529156414742
14,"MV301,P403,P301,P206,P102,MV304,P602,P401,P502,P601,P603,P404,P501,UV401",0.9541381128096995,0.9594784049906725,0.9541381128096995,0.9594784049906725,0.9864606164858641,0.9850529156414742
15,"MV301,P403,P301,P206,P102,MV304,P602,P401,P502,P601,P603,P404,P501,UV401,P402",0.9567703853730266,0.9613959609023587,0.9567703853730266,0.9613959609023587,0.9872097217212774,0.985978673770178
16,"MV301,P403,P301,P206,P102,MV304,P602,P401,P502,P601,P603,P404,P501,UV401,P402,MV302",0.9607239963377078,0.9642976484527008,0.9607239963377078,0.9642976484527008,0.9872097217212774,0.985978673770178
17,"MV301,P403,P301,P206,P102,MV304,P602,P401,P502,P601,P603,P404,P501,UV401,P402,MV302,P302",0.9755431012956746,0.9760503514385522,0.9755673778542296,0.9760706953670049,0.9872409344394196,0.9860092130417979
18,"MV301,P403,P301,P206,P102,MV304,P602,P401,P502,P601,P603,P404,P501,UV401,P402,MV302,P302,P101",0.9842618538967345,0.9836739960516822,0.9842861304552896,0.9836963541588567,0.986998168853869,0.986144772431045
19,"MV301,P403,P301,P206,P102,MV304,P602,P401,P502,P601,P603,P404,P501,UV401,P402,MV302,P302,P101,P203",0.9820734955469855,0.9817256570633804,0.9821151125045086,0.981762100574505,0.9875287850622867,0.9863610304153696
20,"MV301,P403,P301,P206,P102,MV304,P602,P401,P502,P601,P603,P404,P501,UV401,P402,MV302,P302,P101,P203,P205",0.9845635768387759,0.9839826269089441,0.9846051937962988,0.9840202661578153,0.9876709763338235,0.986565843732435
